ID;Nombre_Establecimiento;Población_Objetivo;Tipo_de_establecimiento;Gestión;Domicilio;Localidad;Departamento;Provincia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
18173;ESCUELA N° 1010 JUAN A.FIGUEROA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Calle Publica YUCHAN;YUCHAN;JUAN F IBARRA;Santiago del Estero;;;;;;;;;;;;;;;;
18174;ESCUELA N° 997 MANUEL BELGRANO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL MOJONCITO;EL MOJONCITO/MOJONCITO;CHOYA;Santiago del Estero;;;;;;;;;;;;;;;;
18175;ESCUELA Nº95 EDUARDO PEREZ BULNES;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL PUESTITO EL PUESTITO;EL PUESTITO;CHOYA;Santiago del Estero;;;;;;;;;;;;;;;;
18176;ESCUELA N° 1115 LA REPRESA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA REPRESA;LA REPRESA;CHOYA;Santiago del Estero;;;;;;;;;;;;;;;;
18177;ESCUELA N° 152 REPUBLICA DE COSTA RICA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;PUERTA DE CHAVEZ PUERTA DE CHAVEZ;PUERTA DE CHAVEZ;CHOYA;Santiago del Estero;;;;;;;;;;;;;;;;
18178;ESCUELA Nº 1030;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SAN RAFAEL SAN RAFAEL;SAN RAFAEL;CHOYA;Santiago del Estero;;;;;;;;;;;;;;;;
18179;JARDIN MUNICIPAL Nº13 HORMIGUITA VIAJERA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Juan Jose Lami 7º PASAJE HUAICO HONDO;SANTIAGO DEL ESTERO;CAPITAL;Santiago del Estero;;;;;;;;;;;;;;;;
18180;JARDIN DE INFANTES Nº68 PINOCHO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;MADRE DE CIUDADES S/N AEROPUERTO AV.MADRE DE CIUDADES Y CALLE 18;SANTIAGO DEL ESTERO;CAPITAL;Santiago del Estero;;;;;;;;;;;;;;;;
18181;ESCUELA Nº 867 CELESTINA JUAREZ DE AVILA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Ruta Provincial N93 VINARA;VINARA;RIO HONDO;Santiago del Estero;;;;;;;;;;;;;;;;
18182;ESCUELA N° 486;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Camino Nacional LOMA DEL MEDIO;LOMA DEL MEDIO;RIO HONDO;Santiago del Estero;;;;;;;;;;;;;;;;
18183;ESCUELA Nº 455;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CAÑADA DE TALA POZO CAÑADA DE TALA POZO;CAÑADA DE TALAPOZO;RIO HONDO;Santiago del Estero;;;;;;;;;;;;;;;;
18184;ESCUELA N° 116 SARGENTO CABRAL;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Camino vecinal (acceso por Ruta Prov 89);EL BARRIAL;BANDA;Santiago del Estero;;;;;;;;;;;;;;;;
18185;ESCUELA N.137 PASO DE LOS ANDES;Infancias;Nivel inicial - Jardín de Infantes;Estatal;MISTOL POZO MISTOL POZO;MISTOL POZO;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18186;ESCUELA Nº534 RICARDO GUTIERREZ J/423;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LOS CERRILLOS LOS CERRILLOS;LOS CERRILLOS;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18187;ESCUELA N° 832;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA PALIZA LA PALIZA;NO FIGURA EN TABLA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18188;ESCUELA Nº 523 NUESTRA SEÑORA DEL LUJAN / JI 851;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL CANDELARIO EL CANDELARIO;EL CANDELARIO;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18189;ESCUELA Nº639;Infancias;Nivel inicial - Jardín de Infantes;Estatal;YACU HURMANA YACU HURMANA;YACU HURMANA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18190;ESCUELA Nº1037 PALMA SOLLAZO DE GRAMAJO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;VARAS CUCHUNA VARAS CUCHUNA;VARAS CHUCHUNA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18191;ESCUELA N° 612 FANNY PAOLA REMEDI;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SANTA ROSA SANTA ROSA;SANTA ROSA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18192;ESCUELA Nº 896 / JI 877;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Camino Vecinal RUBIA PASO;RUBIA PASO;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18193;ESCUELA Nº958;Infancias;Nivel inicial - Jardín de Infantes;Estatal;PASO DE LOS OSCARES SUMAMPA PASO DE LOS OSCARES SUMAMAPA;PAZO DE LOS OSCARES;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18194;ESCUELA N° 1014;Infancias;Nivel inicial - Jardín de Infantes;Estatal;NUEVA LOMA NUEVA LOMA;NUEVA LOMA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18195;ESCUELA Nº860 MARIA MONTES DE OCA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;NAVARRO NAVARRO;NAVARRO;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18196;ESCUELA Nº735LA ESPERANZA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;MALOTA MALOTA;MALOTA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18197;ESCUELA Nº 581;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LOMA BLANCA LOMA BLANCA;LOMAS BLANCAS;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18198;ESCUELA N° 494;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA CENTELLA LA CENTELLA ESTAFETA CASARES;LA CENTELLA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18199;ESCUELA Nº643;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SIMBOLAR SIMBOLAR;EL SIMBOLAR;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18200;ESCUELA Nº991 TEOFILO DOMINGUEZ;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CHIRA CHIRA;CHIRA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18201;ESCUELA Nº637 CORNELIO SEGUNDO LEDESMA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CARRETA PASO CARRETA PASO;CARRETA PASO;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18202;ESCUELA Nº1189 MAESTRA RURAL;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CAMPO DE CEJAS CAMPO DE CEJAS;CAMPOS DE CEJAS;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18203;ESCUELA Nº 573 MARY NOEMI UGOZZOLI / JI N° 888;Infancias;Nivel inicial - Jardín de Infantes;Estatal;BORDO PAMPA BORDO PAMPA;BORDO PAMPA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18204;ESCUELA Nº859 LA ANDARIEGA / JI N° 887;Infancias;Nivel inicial - Jardín de Infantes;Estatal;ANGA ANGA;ANGA;SALAVINA;Santiago del Estero;;;;;;;;;;;;;;;;
18205;ESCUELA N° 72 JUAN JOSE LAMI;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA ABRITA LA ABRITA;LA ABRITA;SILIPICA;Santiago del Estero;;;;;;;;;;;;;;;;
18206;ESCUELA N° 726 / JI 855;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA RAMADITA LA RAMADITA;LA RAMADITA;SILIPICA;Santiago del Estero;;;;;;;;;;;;;;;;
18207;ESCUELA N° 810 SANTA BARBARA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;MANOGASTA MANOGASTA;MANOGASTA;SILIPICA;Santiago del Estero;;;;;;;;;;;;;;;;
18208;ESCUELA N° 1096 ARMADA NACIONAL;Infancias;Nivel inicial - Jardín de Infantes;Estatal;PUESTO DEL MEDIO PUESTO DEL MEDIO;PUESTO DEL MEDIO;SILIPICA;Santiago del Estero;;;;;;;;;;;;;;;;
18209;ESCUELA N° 218 VICTOR MERCANTE J/421;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SAN ANDRES SAN ANDRES;SAN ANDRES;SILIPICA;Santiago del Estero;;;;;;;;;;;;;;;;
18210;ESCUELA Nº 1013 NUESTRA SRA.DE LA MEDALLA MILAGROSA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Camino Vecinal a Villa Silipica 9 SIMBOL;SIMBOL;SILIPICA;Santiago del Estero;;;;;;;;;;;;;;;;
18211;ESCUELA N° 15 JUAN DAUXION LAVAISSE;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SUMAMAO SUMAMAO;SUMAMAO;SILIPICA;Santiago del Estero;;;;;;;;;;;;;;;;
18212;JARDIN MUNICIPAL N°11 SHUNKO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;TRINIDAD TOBAGO Y GUYANA AMERICA DEL SUR TRINIDAD TOBAGO B.AMERICA DEL SUR;SANTIAGO DEL ESTERO;CAPITAL;Santiago del Estero;;;;;;;;;;;;;;;;
18213;JARDIN DE INFANTES Nº64 WALT DISNEY;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Añoranza Tradicion;SANTIAGO DEL ESTERO;CAPITAL;Santiago del Estero;;;;;;;;;;;;;;;;
18214;JARDIN MUNICIPAL Nº17DIVINO NIÑO JESUS;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Rafael Lledo 723 SARMIENTO SAN LUIS Y PJE 128;SANTIAGO DEL ESTERO;CAPITAL;Santiago del Estero;;;;;;;;;;;;;;;;
18215;ESCUELA Nº655 JOSE CAMILO LARROSA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;AMOLADERAS AMOLADERAS;AMOLADERAS;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18216;ESCUELA Nº 792 MANUEL JOSE VICTORIA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;BAEZ BAEZ;BAEZ;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18217;ESCUELA Nº108 REPUBLICA DEL URUGUAY;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CRUZ DEL NORTE LA CRUZ DEL NORTE;CRUZ DEL NORTE;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18218;ESCUELA Nº994;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Nuestra Sra. de la Merced Nº 994 PAMPA GRANDE;PAMPA GRANDE;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18219;ESCUELA Nº 1038 / JI N° 883;Infancias;Nivel inicial - Jardín de Infantes;Estatal;POZO DEL GARABATO POZO DEL GARABATO;POZO DEL GARABATO;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18220;ESCUELA Nº656;Infancias;Nivel inicial - Jardín de Infantes;Estatal;RUMI POZO RUMI POZO;RUMI POZO;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18221;ESCUELA N° 791 HUMBERTO GEREZ / JI 694;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CHACRAS;CHACRAS;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18222;ESCUELA Nº 740 CAPITAN DE NAVIO HIPOLITO BOUCHARD / JI 836;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL CAJON EL CAJON;CAJON/EL CAJON;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18223;ESCUELA N° 277;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL CERRITO EL CERRITO;EL CERRITO;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18224;ESCUELA Nº 98 PROVINCIA DE LA RIOJA / JI 838;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL JUME EL JUME;EL JUME;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18225;ESCUELA Nº51 CARLOS GUIDO SPANO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Calle Vecinal AMBARGASTA;AMBARGASTA;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18226;ESCUELA N° 362 Escuela Infantil / JI 837;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA CHILQUITA LA CHILQUITA;LA CHIRQUITA;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18227;ESCUELA N° 102 PROVINCIA DE CORDOBA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA ESPERANZA LA ESPERANZA;LA ESPERANZA;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18228;ESCUELA Nº111 JUANA MANSO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA SOLEDAD LA SOLEDAD;LA SOLEDAD;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18229;ESCUELA N° 531;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LOS CHAÑARES LOS CHAÑARES;LOS CHAÑARES;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18230;ESCUELA Nº773 VIRGEN DE LA CONSOLACION;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Ruta Nac. N° 9 PIEDRA BLANCA;PIEDRA BLANCA;OJO DE AGUA;Santiago del Estero;;;;;;;;;;;;;;;;
18231;ESCUELA N° 1174;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CORRAL QUEMADO CORRAL QUEMADO;CORRAL QUEMADO;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18232;ESCUELA N° 602;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Ruta Prov. N° 2 LA CANDELARIA;LA CANDELARIA;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18233;ESCUELA Nº513;Infancias;Nivel inicial - Jardín de Infantes;Estatal;RANCHILLOS RANCHILLOS;RANCHILLOS;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18234;ESCUELA N° 1149 PROF. CARLOS ENRIQUE OTTOLENGHI;Infancias;Nivel inicial - Jardín de Infantes;Estatal;TACIOJ;TACIOJ/TASIOJ;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18235;ESCUELA N° 1143 / JI 860;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Ruta N° 4;TRES VARONES;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18236;ESCUELA N° 1123 SAN IGNACIO DE LOYOLA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;MANGA BAJADA-SAN JOSE DE BOQUERON;MANGA BAJADA;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18237;ESCUELA Nº380;Infancias;Nivel inicial - Jardín de Infantes;Estatal;PIRUAJ POZO PIRUAJ BAJO;PIRUAJ BAJO;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18238;ESCUELA N° 1147;Infancias;Nivel inicial - Jardín de Infantes;Estatal;por Ruta Prov N° 4 SAN JOSE DE BOQUERON;VINAL SUNI;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18239;ESCUELA Nº353;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL PUESTO EL PUESTO;EL PUESTO;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18240;ESCUELA Nº344;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CABEZA DEL TORO CABEZA DEL TORO;CABEZA DEL TORO;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18241;ESCUELA Nº309;Infancias;Nivel inicial - Jardín de Infantes;Estatal;IFIA IFIA;IFIA;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18242;ESCUELA Nº1188 / JI 823;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LAS LOMITAS LAS LOMITAS;LAS LOMAS;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18243;ESCUELA Nº263 MANUEL ISAAC CORDOBA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LOS TIGRES LOS TIGRES;LOS TIGRES;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
18244;ESCUELA Nº465 ROSA ALICIA MORENO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CODO VIEJO CODO VIEJO;CODO VIEJO;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18245;ESCUELA Nº93 JULIAN DEL CASTAÑO / J419;Infancias;Nivel inicial - Jardín de Infantes;Estatal;COLLERA HUARCUNA COLLERA HUARCUNA;COLLERA HUARCANA;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18246;ESCUELA Nº460;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL DORADO EL DORADO;EL DORADO;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18247;ESCUELA Nº163 PROVINCIA DE CORRIENTES J/436;Infancias;Nivel inicial - Jardín de Infantes;Estatal;ESTACION ATAMISQUI ESTAC.ATAMISQUI;ESTACION ATAMISQUI;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18248;ESCUELA Nº954;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Ruta prov. Nº 98 JUANILLO;JUANILLO;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18249;ESCUELA Nº464 / JI 859;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA PALOMA LA PALOMA;PALOMA;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18250;ESCUELA Nº507 BERTA VICENTE;Infancias;Nivel inicial - Jardín de Infantes;Estatal;MEDELLIN MEDELLIN;MEDELLIN;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18251;ESCUELA Nº 717 JUSTINA C. DE GALLO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;PUERTA GRANDE PUERTA GRANDE;PUERTA GRANDE;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18252;ESCUELA Nº993JORGE LUS BORGES;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SANTA ISABEL STA.ISABEL;SANTA ISABEL;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18253;ESCUELA Nº1215MADRE TERESA DE CALCUTA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SOCONCHO SOCONCHO;SOCONCHO;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18254;ESCUELA Nº713 CORONEL LORENZO LUGONES / JI 813;Infancias;Nivel inicial - Jardín de Infantes;Estatal;TASIGASTA TASIGASTA;TASIGASTA;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18255;ESCUELA Nº749 FRANCISCO ROLDAN;Infancias;Nivel inicial - Jardín de Infantes;Estatal;TULUM TULUM TULUM TULUM;TULUM TULUM;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18256;ESCUELA Nº346 DORA ARGENTINA PECE DE BARRAZA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;YACU CHIRI YACU CHIRI;YACU CHIRI;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18257;ESCUELA Nº970FELICIANA DEL ROSARIO CEJAS;Infancias;Nivel inicial - Jardín de Infantes;Estatal;ANCOCHA ANCOCHA;ANCOCHA;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18258;ESCUELA Nº595 ENCARNACION TOLOZA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;BREA LOMA BREA LOMA;BREA LOMA;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18259;ESCUELA N° 1075CRUZADA FEMENINA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;GUANACO SOMBRIANA GUANACO SOMBRIANA;GUANACO SOMBRIANA;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18260;ESCUELA Nº1012PEDRO CEFERINO PAZ;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LOMITAS LOMITAS;LOMITAS;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18261;ESCUELA N° 980 JOSE T.PAZ;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SAN DIONISIO SAN DIONISIO;SAN DIONISIO;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18262;ESCUELA Nº471 INFANTERIA DE MARINA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SIMBOL POZO SIMBOL POZO;SIMBOL POZO;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18263;ESCUELA N° 368 CONQUISTA DEL DESIERTO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL SOBRANTE DE ISLA DE LOS CASTILLOS EL S.DE ISLA DE LOS CASTILLOS;EL SOBRANTE DE LA ISLA DE LOS CASTILLOS;RIO HONDO;Santiago del Estero;;;;;;;;;;;;;;;;
18264;ESCUELA N° 47 DOMINGO CARRIZO J/416;Infancias;Nivel inicial - Jardín de Infantes;Estatal;Ruta Provincial N 3 AMICHA;AMICHA;RIO HONDO;Santiago del Estero;;;;;;;;;;;;;;;;
18265;ESCUELA N° 950;Infancias;Nivel inicial - Jardín de Infantes;Estatal;BAHOMA BAHOMA;BAHOMA;RIO HONDO;Santiago del Estero;;;;;;;;;;;;;;;;
18266;ESCUELA N° 990 / JI N° 530;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SAN CARLOS SAN CARLOS;SAN CARLOS;RIO HONDO;Santiago del Estero;;;;;;;;;;;;;;;;
18267;ESCUELA Nº1103SATURNINO LEGUIZAMON;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CHILCAS LA LOMA CHILCA LA LOMA;CHILCA LA LOMA;ATAMISQUI;Santiago del Estero;;;;;;;;;;;;;;;;
18268;ESCUELA Nº815 DE JORNADA COMPLETA ANEXO ALBERGUE;Infancias;Nivel inicial - Jardín de Infantes;Estatal;BELGRANO SUMAMPA ESTAFETA BELGRANO;BELGRANO;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18269;ESCUELA N° 176 ESTANISLAO DEL CAMPO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL CERRO EL CERRO;EL CERRO;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18270;ESCUELA Nº561;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL MISTOL EL MISTOL;EL MISTOL;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18271;ESCUELA Nº 851 GAUCHO GUEMES / JI 844;Infancias;Nivel inicial - Jardín de Infantes;Estatal;GAUCHO DE GUEMES GAUCHO DE GUEMES;GAUCHO DE GUEMES;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18272;ESCUELA Nº828;Infancias;Nivel inicial - Jardín de Infantes;Estatal;HORCOS TUCUCUNA HORCOS TUCUCUNA;HORCOS TUCUCUNA;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18273;ESCUELA Nº820;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA HIGUERA LA HIGUERA SUMAMAPA;LA HIGUERA;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18274;ESCUELA Nº 794 FRANCISCO JESUS LESCANO / JI 843;Infancias;Nivel inicial - Jardín de Infantes;Estatal;ORATORIO ORATORIO;ORATORIO;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18275;ESCUELA N° 1089;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SUMAMPA SUMAMAPA PUERTA DEL MONTE;PUERTA DEL MONTE;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18276;ESCUELA Nº522;Infancias;Nivel inicial - Jardín de Infantes;Estatal;RAMA PASO RAMA PASO;RAMA PASO;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18277;ESCUELA N° 416;Infancias;Nivel inicial - Jardín de Infantes;Estatal;RAMIREZ DE VELAZCO RAMIREZ DE VELAZCO;RAMIREZ DE VELAZCO;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18278;ESCUELA Nº 852;Infancias;Nivel inicial - Jardín de Infantes;Estatal;RIO VIEJO RIO VIEJO;RIO VIEJO;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18279;ESCUELA Nº745 TRISTAN FUNES;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SANTA ANA SANTA ANA;SANTA ANA;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18280;ESCUELA Nº850 ANDRES A.FIGUEROA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;RUTA NACIONAL N° 92 VILLA QUEBRACHOS;VILLA QUEBRACHOS;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18281;ESCUELA N° 978CORONEL FERNANDEZ;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CORONEL FERNANDEZ CORONEL FERNANDEZ;CORONEL FERNANDEZ;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18282;ESCUELA Nº285 ANDRES FIGUEROA;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL ESPARTAL EL ESPARTAL;EL ESPARTAL;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18283;ESCUELA Nº 509;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA BELLA CRIOLLA LA BELLA CRIOLLA;BELLA CRIOLLA;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18284;ESCUELA N° 744 / JI 778;Infancias;Nivel inicial - Jardín de Infantes;Estatal;LA TRAMPA LA TRAMPA;LA TRAMPA;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18285;ESCUELA N° 642;Infancias;Nivel inicial - Jardín de Infantes;Estatal;POZO DEL CHAÑAR POZO DEL CHAÑAR;POZO DEL CHAÑAR;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18286;ESCUELA Nº853;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SAN FRANCISCO SAN FRANCISCO;SAN FRANCISCO;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18287;EL FUERTE VIEJO ANEXO ESCUELA Nº853;Infancias;Nivel inicial - Jardín de Infantes;Estatal;FUERTE VIEJO FUERTE VIEJO;FUERTE VIEJO;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18288;ESCUELA Nº575 CABO 2DO. OMAR HILARIO GOROSITO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;SUMAMPA VIEJO SUMAMPA VIEJO;SUMAMPA VIEJO;QUEBRACHOS;Santiago del Estero;;;;;;;;;;;;;;;;
18289;ESCUELA N° 1100 EJERCITO ARGENTINO;Infancias;Nivel inicial - Jardín de Infantes;Estatal;CASHICO CASHICO;CASHICO;JIMENEZ;Santiago del Estero;;;;;;;;;;;;;;;;
18290;ESCUELA N° 280;Infancias;Nivel inicial - Jardín de Infantes;Estatal;EL AÑIL EL AÑIL;EL AÑIL;JIMENEZ;Santiago del Estero;;;;;;;;;;;;;;;;
18291;JARDIN DE INFANTES Nº 294 FLORCITAS DEL NORTE;Infancias;Nivel inicial - Jardín de Infantes;Estatal;AVDA. GRAL. PAZ 355 J.D.PERON SAN JOSE DE CALASANZ Y PUEYRREDON;PAMPA DE LOS GUANACOS;COPO;Santiago del Estero;;;;;;;;;;;;;;;;
