ID;Nombre_Establecimiento;Población_Objetivo;Tipo_de_establecimiento;Gestión;Domicilio;Localidad;Departamento;Provincia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
78;Instituto Parroquial Nuestra Señora De La Unidad;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Navarro 2517 Agronomia;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
79;Jii N° 05 De 09;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Del Libertador 4777 Palermo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
80;Inst. San Mateo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Moldes 1469 Colegiales 1487;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
81;Ntra. Sra. De La Misericordia;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Cabildo 1333 Belgrano;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
82;Jin A De 12 (Esc. Prim. Nº 04 De 12);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Caracas 1249 Villa Gral. Mitre;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
83;Jin A De 12 (Esc. Prim. Nº 19 De 12);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Fray Cayetano Rodriguez 95 Flores;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
84;Jin A De 12 (Esc. Prim. Nº 01 De 12);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Yerbal 2370 Flores;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
85;Jin A De 12 (Esc. Prim. Nº 05 De 12);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Gral. Jose Gervasio De Artigas 878 Flores;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
86;Inst. San Jose De La Palabra De Dios;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Castillo 767 Villa Crespo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
87;Instituto Integral Mundo Nuevo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Serrano 557 Villa Crespo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
88;Colegio Uriarte;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Uriarte 1152 Villa Crespo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
89;Colegio Ingles Horacio Watson;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Diaz Colodrero 2431 Villa Urquiza;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
90;Instituto Incorporado Colectividad Helenica;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Julian Alvarez 1030 Villa Crespo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
91;Jin B Jardin De Los Puentes De 09 (Esc.Prim.Nº9 De 9);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Gorriti 5744 Palermo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
92;Jin B Jardin De Los Puentes De 09 (Esc.Prim.N°15De 9);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Federico Lacroze 2971 Colegiales;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
93;Coleg. La Anunciata;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Arenales 2065 Recoleta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
94;Jin A De 01 (Esc. Prim. Nº 7 De 01);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Libertad 581 San Nicolas;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
95;Jin A De 01 (Esc. Prim. Nº 8 De 01);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Talcahuano 680 San Nicolas;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
96;Jin A De 01 (Es. Prim. Nº 9 De 1);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Tte. Gral. Juan Domingo Peron 1140 San Nicolas;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
97;Inst. San Judas Tadeo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Somellera 1720 Parque Chacabuco;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
98;Isaac Bakchellian;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Corrales 2527 Villa Soldati;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
99;Jic N° 08 De 19;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Lafuente 2670 Villa Soldati;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
100;Inst. Virgen Del Valle;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Jorge Newbery 2880 Colegiales;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
101;Jii Nº 12 De 21;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Cafayate 5115 Villa Lugano;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
102;Jic N° 03 Amalia Figueredo De 21;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Beron De Astrada 5920 Villa Lugano;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
103;Instituto Amanecer;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Gral. Paz 16234 Villa Riachuelo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
104;Jin C De 21 (Esc. Prim. Nº 14 De 21);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Cañada De Gomez 4548 Villa Lugano;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
105;Jin C De 21 (Esc. Prim. N° 13 De 21);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Piedra Buena 4863 Villa Riachuelo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
106;Instituto Euskal-Echea;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Sarandi 735 Balvanera;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
107;Jin B De 03 (Esc. Prim. N° 23 De 3);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Pasco 961 San Cristobal;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
108;Jin B De 03 (Esc. Prim. Nº 9 De 3);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Moreno 2104 Balvanera;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
109;Jin B De 03 (Esc. Prim. N° 15 De 3);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Mexico 2383 Balvanera;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
110;Instituto Nuestra Señora Del Pilar;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Vicente Lopez 1969 Recoleta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
